Category (S),Title (S),ShortTitle (S),ProductID (S),Weight (N),Price (N),Discounted Price (N),Image (S),Description (S),Catalog Weight (S)
Category 8,COLGATE T.B KIDS 2D JUNIOR,COLGATE T.B KIDS 2D JUNIOR,4808888200033,204,38.46,,,,
Category 8,COLGATE ADULT T.B 360 DEG MED,COLGATE ADULT T.B 360 DEG MED,4892368320847,29,98.29,,,,
Category 8,SMOKERS T.P ACTIVE 100ML,SMOKERS T.P ACTIVE 100ML,5012251012010,184,200.85,,,,
Category 8,,,5013965953354,152,0,,,,
Category 8,SENSODYNE T.P MAXFRESH RED 75G,SENSODYNE T.P MAXFRESH RED 75G,6805699953675,119,363.25,,,,
Category 8,COLGATE T/BRUSH ADLT TWS/MED,COLGATE T/BRUSH ADLT TWS/MED,8850006265178,29,64.1,,,,
Category 8,COLGATE ADULT T.B NAVI PLUS,COLGATE ADULT T.B NAVI PLUS,8850006330593,28,72.65,,,,
Category 8,COLGATE T.B SLIM SOFT S,COLGATE T.B SLIM SOFT S,8850006331682,23,94.02,,,,
Category 8,COLGATE T.P BRSH PK 300G,COLGATE T.P BRSH PK 300G,8886950050218,349,235.04,,,,
Category 8,COLGATE T.P GRF 75G,COLGATE T.P GRF 75G,8886950051024,91,68.38,,,,
Category 8,,,8886950051048,174,0,,,,
Category 8,COLGATE T.P GRF 27G,COLGATE T.P GRF 27G,8886950051260,38,16.09,,,,
Category 8,COLGATE T.P HRB REG 150G,COLGATE T.P HRB REG 150G,8886950052045,174,119.66,,,,
Category 8,COLGATE T.P HRB 27G,COLGATE T.P HRB 27G,8886950052106,238,102.54,,,,
Category 8,COLGATE T.P HRB REG 45G,COLGATE T.P HRB REG 45G,8886950052120,64,28.92,,,,
Category 8,COLGATE T.P MISWAK 100G,COLGATE T.P MISWAK 100G,8886950054025,80,85.47,,,,
Category 8,COLGATE SENS REG 150G,COLGATE SENS REG 150G,8886950055039,172,158.59,,,,
Category 8,COLGATE T.P SENS 50G,COLGATE T.P SENS 50G,8886950055046,63,66.78,,,,
Category 8,COLGATE SENS PRO 100G,COLGATE SENS PRO 100G,8886950055275,128,188.03,,,,
Category 8,COLGATE T.P MAXFRSH BLU 75G,COLGATE T.P MAXFRSH BLU 75G,8886950056012,93,76.92,,,,
Category 8,COLGATE T.P MAXFRESH RED 75G,COLGATE T.P MAXFRESH RED 75G,8886950056036,77,69.92,,,,
Category 8,COLGATE T.P MAXFRSH GRN 75G,COLGATE T.P MAXFRSH GRN 75G,8886950056050,89,76.92,,,,
Category 8,COLGATE T.P ADH TTL 75G,COLGATE T.P ADH TTL 75G,8886950057057,89,71.65,,,,
Category 8,SPARKLE T.P BRSHPCK 70G,SPARKLE T.P BRSHPCK 70G,8886950066455,94,35.74,,,,
Category 8,SPARKLE T.P STRNG 200G,SPARKLE T.P STRNG 200G,8886950066479,229,68.38,,,,
Category 8,SPARKLE T.P STRNG 130G,SPARKLE T.P STRNG 130G,8886950066486,216,51.28,,,,
Category 8,COLGATE SPARKLE T.P 28G X3,COLGATE SPARKLE T.P 28G X3,8886950066523,100,38.46,,,,
Category 8,COLGATE T.B C.CLN S,COLGATE T.B C.CLN S,8886950092096,158,30.4,,,,
Category 8,COLGATE T/BRUSH ADLT EX/CLN,COLGATE T/BRUSH ADLT EX/CLN,8886950092119,20,38.46,,,,
Category 8,COLGATE T.B ZIG ZAG SML,COLGATE T.B ZIG ZAG SML,8886950093192,25,43.43,,,,
Category 8,DABUR T/PASTE RED 200GM,DABUR T/PASTE RED 200GM,8901207000324,225,170.94,,,,
Category 8,ENGLISH T.P HERBAL,ENGLISH T.P HERBAL,8964000570128,162,85.47,,,,
Category 8,ENGLISH T.P ANTIBAC,ENGLISH T.P ANTIBAC,8964000570142,,85.47,,,,
Category 8,ENGLISH T.P CAVITY PROT,ENGLISH T.P CAVITY PROT,8964000570159,159,85.47,,,,
Category 8,ENGLISH T.P REGINT,ENGLISH T.P REGINT,8964000572559,159,68.38,,,,
Category 8,MYBRUSH T.B EDGE SFT,MYBRUSH T.B EDGE SFT,8964001221029,26,64.1,,,,
Category 8,MYBRUSH T.B FIX SFT,MYBRUSH T.B FIX SFT,8964001221043,21,55.56,,,,
Category 8,SHIELD T.B NEW CLARITY,SHIELD T.B NEW CLARITY,8964001492627,26,68.38,,,,
Category 8,SHIELD T.B FLE XADULT,SHIELD T.B FLE XADULT,8964001492627,26,38.46,,,,
Category 8,,,8964001492641,52,0,,,,
Category 8,SHIELD T.B ANTIBAC,SHIELD T.B ANTIBAC,8964001492696,22,55.56,,,,
Category 8,SENSODYN T/PASTE FLURIDE 70G,SENSODYN T/PASTE FLURIDE 70G,9200475730704,53,126.75,,,,
Category 8,,,9200475731008,113,0,,,,
Category 8,SENSODYN T/PASTE ORGNL 50G,SENSODYN T/PASTE ORGNL 50G,9200475760503,63,109.11,,,,
Category 8,SENSODYNE T/PASTE ORGNL 100G,SENSODYNE T/PASTE ORGNL 100G,9200475761005,120,188.03,,,,
Category 8,PARDONTAX T.P ORG 100G,PARDONTAX T.P ORG 100G,9200475776108,116,147.85,,,,
Category 8,SENSODYNE T.P MULTICARE 30G,SENSODYNE T.P MULTICARE 30G,9200475780303,40,62.1,,,,
Category 8,SENSODYNE T/PASTE FLORD 100G,SENSODYNE T/PASTE FLORD 100G,9200475780709,75,173.76,,,,
Category 8,SENSODYNE T/PASTE M/CRE 70G,SENSODYNE T/PASTE M/CRE 70G,9200475780709,75,145.3,,,,
Category 8,SENSODYNE T/PASTE MCR 100G,SENSODYNE T/PASTE MCR 100G,9200475781003,119,200.85,,,,
Category 8,SENSODYNE T.B MULTI SOFT,SENSODYNE T.B MULTI SOFT,9200475782871,25,102.56,,,,
